master_id,record_id,title,year,authors,journal,doi,pmid,final_layer,primary_domain,secondary_domain,primary_study_list_status,clinical_summary,critical_warnings,causal_scope,adjudication_status,citation,country_or_region,objective,review_type,protocol_registration,databases,search_end_date,language_limits,grey_literature,eligibility_summary,n_included_reports,n_unique_primary_studies,n_cohorts_if_reported,total_participants,inph_participants,shunted_participants,study_designs,shunt_types,predictor_modalities,comparator_or_reference_standard,outcome_domains,follow_up,synthesis_method,meta_analysis,primary_study_rob_tool,certainty_method,funding,conflicts,pdf,pages
FT-013,INPH-U0391,Time Course of Symptoms in Normal-Pressure Hydrocephalus: A Systematic Review.,2025,"Rovčanin B(1)(2), Omerhodžić I(1)(2), Nuhović A(3), Begagić E(4), Mahmutbegović N(5), Bečulić H(4)(6), Sefo H(1), Mehmedika-Suljić E(2)(5), Džurlić A(1)(7), Pojskić M(8).",Diagnostics (Basel). 2025 Jul 14;15(14):1778. doi: 10.3390/diagnostics15141778.,10.3390/diagnostics15141778,40722526.0,A,Clinical phenotype and comorbidity,Symptom duration and timing,INCOMPLETE_OR_PLACEHOLDER,Do not refuse surgery solely because symptoms are longstanding; earlier referral is reasonable but the predictive threshold is unvalidated.,Duration definitions and recall are inconsistent; confounding by severity/comorbidity; no randomized evidence.,Prognostic association.,ADJUDICATED_FINAL,Rovčanin B(1)(2) et al. (2025). Time Course of Symptoms in Normal-Pressure Hydrocephalus: A Systematic Review. Diagnostics (Basel). 2025 Jul 14;15(14):1778. doi: 10.3390/diagnostics15141778.. DOI: 10.3390/diagnostics15141778.,International,Evaluate whether preoperative symptom duration is associated with outcomes after VP shunting for adult NPH.,Systematic review,NR,"PubMed, Scopus, Embase",NR,NR,NR,"Adult NPH, VP shunt, pre/post clinical/radiological scores, symptom duration, follow-up >1 month.",24,24,NÃO EXTRAÍVEL,1169,NÃO EXTRAÍVEL,1169,Observational cohorts,VP shunt,Duration of symptoms; timing to surgery,Post-shunt clinical/radiologic change,"Gait, cognition, urinary, global/radiologic",1 month to long-term,Narrative synthesis; quantitative pooling only where reported,PARTIAL,Newcastle-Ottawa Scale,GRADE discussed,NR,NR,MESCLADOS 2,220-235
FT-015,INPH-U0420,Idiopathic normal pressure hydrocephalus: a systematic review and a streamlined six-step algorithm endorsed by the Italian Society of Neurosurgery (SINCH).,2025,"Panciani, Pier P. Palandri, Giorgio Petrella, Gianpaolo Tuniz, Francesco de Bonis, Pasquale de Maria, Lucio Nicoletti, Giovanni Graziano, Francesca Agosti, Edoardo Germano, Antonino Draghi, Riccardo Borghesi, Ignazio Simonini, Anita Pacchetti, Claudio Fontanella, Marco M.",Journal of Neurosurgical Sciences (2025) 69:1 (92-101). Date of Publication: 1 Feb 2025,10.23736/s0390-5616.25.06429-x,40045807.0,A+B,Integrated selection and guidelines,Clinical-imaging-CSF algorithm,INCOMPLETE_OR_PLACEHOLDER,"Useful pathway framework, but the algorithm itself is consensus-derived and not prospectively validated as a prediction model.",English-only; broad scope; no quantitative comparison of algorithm performance; diagnostic and prognostic evidence mixed.,"Decision pathway, not validated effect modification.",ADJUDICATED_FINAL,Panciani et al. (2025). Idiopathic normal pressure hydrocephalus: a systematic review and a streamlined six-step algorithm endorsed by the Italian Society of Neurosurgery (SINCH). Journal of Neurosurgical Sciences (2025) 69:1 (92-101). Date of Publication: 1 Feb 2025. DOI: 10.23736/s0390-5616.25.06429-x.,Italy,Synthesize iNPH diagnosis/management and produce a six-step clinical algorithm.,Systematic review and consensus algorithm,NR,"PubMed/MEDLINE, Scopus and other sources reported in methods",NR,English,NR,English iNPH diagnostic/management studies meeting prespecified eligibility.,73,73,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,Mixed observational and guideline evidence,VP/LP shunts,"Clinical/imaging criteria, high-volume LP, infusion/ICP tests",Shunt response and clinical management,"Global, gait, cognition, urinary; measurement",Varied,Narrative evidence synthesis plus expert-endorsed algorithm,NO,Newcastle-Ottawa Scale reported,NR,NR,NR,MESCLADOS 2,174-183
FT-016,INPH-U0424,"Standardizing the large-volume ""tap test"" for evaluating idiopathic normal pressure hydrocephalus: a systematic review.",2025,"Bluett B(1), Acosta LM(2), Ash E(3)(4), Bloem BR(5), Espay AJ(6), Farheen A(7)(8), Fasano A(9)(10)(11)(12)(13), Higinbotham A(14), Krauss JK(15), Lang AE(9)(10), Mostile G(16)(17), Aviles-Olmos I(18), Quattrone A(19)(20), Tipton PW(21), Tang-Wai DF(9)(11); International Parkinson and Movement Disorders Society Normal Pressure Hydrocephalus (MDS-NPH) Study Group.",Journal of Neurosurgical Sciences (2025) 69:1 (46-63). Date of Publication: 1 Feb 2025,10.23736/s0390-5616.24.06368-9,40045804.0,A+B,Temporary CSF drainage and CSF dynamics,Tap-test standardization and outcome measurement,INCOMPLETE_OR_PLACEHOLDER,Standardize procedure and measure more than gait alone; document timing and threshold prospectively.,Very broad evidence base; participant total includes mixed/duplicated evidence; Delphi recommendations are not accuracy validation.,Test standardization and outcome measurement.,ADJUDICATED_FINAL,"Bluett B(1) et al. (2025). Standardizing the large-volume ""tap test"" for evaluating idiopathic normal pressure hydrocephalus: a systematic review. Journal of Neurosurgical Sciences (2025) 69:1 (46-63). Date of Publication: 1 Feb 2025. DOI: 10.23736/s0390-5616.24.06368-9.",USA/international,Standardize the large-volume tap-test protocol and response assessment for iNPH.,Systematic review and proposed standardized protocol,NR,"PubMed, Embase, Cochrane CENTRAL",NR,NR,NR,Studies of adult iNPH using lumbar puncture/tap test and post-drainage assessments; mixed shunt-prediction evidence.,222,222,NÃO EXTRAÍVEL,80322,23850,NÃO EXTRAÍVEL,Mixed observational studies,Shunt types varied,"Tap-test volume, timing, TUG/10-m gait, cognition, urinary testing","Temporary drainage response and, where reported, shunt response","Gait, cognition, urinary, global; measurement",Hours to 1 week after tap; postoperative varied,Structured evidence synthesis and consensus protocol,NO,NR,NR,NR,NR,MESCLADOS 1,48-65
FT-018,INPH-U0427,Physical activity and gait in patients with idiopathic normal pressure hydrocephalus: a literature review.,2025,"Oebel K(1), Moeller T(1), Etingold J(2), Brombach T(2), Aslam S(3), Hoskin JL(4), Geda YE(4), Woll A(1), Krell-Roesch J(1).",Frontiers in Neurology (2025) 16 Article Number: 1501709. Date of Publication: 2025,10.3389/fneur.2025.1501709,40170892.0,B,Gait and mobility measurement,Physical activity,INCOMPLETE_OR_PLACEHOLDER,Include both capacity and real-world activity in outcome assessment; avoid treating tap response and definitive shunt benefit as identical.,Single-reviewer elements; intervention mixing; 29/32 gait-focused; heterogeneous instruments; possible double counting.,Outcome measurement.,ADJUDICATED_FINAL,Oebel K(1) et al. (2025). Physical activity and gait in patients with idiopathic normal pressure hydrocephalus: a literature review. Frontiers in Neurology (2025) 16 Article Number: 1501709. Date of Publication: 2025. DOI: 10.3389/fneur.2025.1501709.,Germany/Switzerland,Review physical activity and gait in iNPH and changes after CSF removal/shunt.,Literature review with systematic methods,NR,"PubMed, Scopus, Web of Science",NR,English,NR,iNPH studies assessing physical activity or gait and treatment-related change.,32,32,NÃO EXTRAÍVEL,1315,1315,NÃO EXTRAÍVEL,Mostly observational,Tap test and shunt,"Gait tests, instrumented gait, physical activity monitors",Pre/post drainage or shunt change,Gait/mobility; physical activity,Acute to long-term,Structured narrative synthesis,NO,Methodological quality assessed,NR,NR,NR,MESCLADOS 2,149-160
FT-019,INPH-U0438,Survival After Shunt Therapy in Normal-Pressure Hydrocephalus: A Meta-Analysis of 1614 Patients.,2024,"Wach, Johannes Gueresir, Agi Gueresir, Erdem Vychopen, Martin",Neurology International (2024) 16:6 Article Number: 107. Date of Publication: 1 Dec 2024,10.3390/neurolint16060107,39585066.0,A,Long-term survival and baseline severity,Patient-centered long-term outcome,COMPLETE_FOR_CCA,"Functional burden is useful for counseling and long-term planning, but the study cannot show that earlier shunting causally improves survival.",Reconstructed rather than original IPD; only two studies contributed stratified predictors; mixed NPH; ecological/confounding risk.,"Post-treatment prognosis, not treatment-effect modification.",ADJUDICATED_FINAL,Wach et al. (2024). Survival After Shunt Therapy in Normal-Pressure Hydrocephalus: A Meta-Analysis of 1614 Patients. Neurology International 16:1438–1450. DOI: 10.3390/neurolint16060107.,"Germany-led review; primary cohorts Sweden, Finland, and USA","Reconstruct long-term survival after VP shunt and examine baseline gait, continence, and mRS as prognostic factors.",Systematic review and reconstructed-IPD meta-analysis,PROSPERO 2024; identifier not stated in article,"PubMed/MEDLINE, Cochrane, Embase",2024,English,No,Shunted NPH cohorts with long-term survival shown in Kaplan–Meier curves and number-at-risk tables.,5,5,4–5; two Swedish reports may overlap,1614,Predominant/direct iNPH cohorts; exact unique N reduced by possible Swedish overlap,1614,Retrospective and prospective cohorts,Predominantly VP shunt,"Baseline gait score, continence score, mRS",Long-term overall survival after shunting,Survival; patient-centered long-term outcome,Up to approximately 13 years,Kaplan–Meier IPD reconstruction; one-stage and two-stage time-to-event analyses,YES,NIH Quality Assessment Tool for observational cohort and cross-sectional studies,No formal certainty framework,No external funding,None declared,MESCLADOS 3,181–193
FT-020,INPH-U0439,Gait characteristics in idiopathic normal pressure hydrocephalus: a review on the effects of CSF tap test and shunt surgery.,2024,"Hereitova, Iva Griffa, Alessandra Allali, Gilles Dornak, Tomas",European Journal of Medical Research (2024) 29:1 Article Number: 633. Date of Publication: 1 Dec 2024,10.1186/s40001-024-02162-2,39734225.0,B,Gait and mobility measurement,Post-drainage and post-shunt gait,INCOMPLETE_OR_PLACEHOLDER,Prioritize standardized speed/TUG/stride metrics and preserve dual-task data for equivocal cases.,Narrative synthesis; no pooled predictive accuracy; tap and shunt changes should not be conflated.,Outcome measurement/test response.,ADJUDICATED_FINAL,Hereitova et al. (2024). Gait characteristics in idiopathic normal pressure hydrocephalus: a review on the effects of CSF tap test and shunt surgery. European Journal of Medical Research (2024) 29:1 Article Number: 633. Date of Publication: 1 Dec 2024. DOI: 10.1186/s40001-024-02162-2.,France/international,Describe gait characteristics in iNPH and effects of tap test and shunt surgery.,Systematic review,NR,"PubMed/MEDLINE, Web of Science",NR,NR,NR,Studies objectively assessing iNPH gait before/after CSF tap or shunt.,27,27,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,Observational gait cohorts,Tap test and shunt,"Spatiotemporal gait parameters, dual task, kinematics",Pre/post CSF removal or shunt,Gait/mobility,Acute after tap and postoperative varied,Structured narrative synthesis,NO,NR,NR,NR,NR,MESCLADOS 1,226-250
FT-021,INPH-U0441,Artificial Intelligence for Prediction of Shunt Response in Idiopathic Normal Pressure Hydrocephalus: A Systematic Review.,2024,"Fernandes, Rafael Tiza Fernandes, Filipe Wolff Kundu, Mrinmoy Ramsay, Daniele S. C. Salih, Ahmed Namireddy, Srikar N. Jankovic, Dragan Kalasauskas, Darius Ottenhausen, Malte Kramer, Andreas Ringel, Florian Thavarajasingam, Santhosh G.",World Neurosurg. 2024 Dec;192:e281-e291. doi: 10.1016/j.wneu.2024.09.087. Epub,10.1016/j.wneu.2024.09.087,39313190.0,A-PARCIAL,AI and multivariable prediction,Shunt-response models,INCOMPLETE_OR_PLACEHOLDER,"Promising for multimodal research, not ready for individual surgical decisions without external calibration and decision-curve validation.",Small samples; overfitting; selective reporting; outcome heterogeneity; external validation largely absent.,Prediction model among selected patients.,ADJUDICATED_FINAL,Fernandes et al. (2024). Artificial Intelligence for Prediction of Shunt Response in Idiopathic Normal Pressure Hydrocephalus: A Systematic Review. World Neurosurg. 2024 Dec;192:e281-e291. doi: 10.1016/j.wneu.2024.09.087. Epub. DOI: 10.1016/j.wneu.2024.09.087.,Brazil/international,Review AI/ML models predicting response to CSF drainage or shunt in iNPH.,Systematic review,NR,"PubMed/MEDLINE, Embase, Scopus, Cochrane and ScienceDirect",NR,NR,NR,ML studies in iNPH predicting response; four post-shunt and four post-drainage datasets separable.,8,8,NÃO EXTRAÍVEL,479,479,262,Prediction-model studies,Shunt or temporary CSF drainage,Clinical/imaging/volumetric features and ML algorithms,Shunt response or drainage response (kept separate),"Global/gait, mixed",Varied,SWiM-style structured narrative synthesis,NO,PROBAST,NR,NR,NR,MESCLADOS 1,149-159
FT-022,INPH-U0472,Efficacy and safety of shunt surgery in patients with idiopathic normal-pressure hydrocephalus: can we predict shunt response by preoperative magnetic resonance imaging (MRI)?,2024,"Yun SY(1), Suh CH(2), Byun JH(3), Jo SY(4), Chung SJ(4), Lim JS(4), Lee JH(4), Kim MJ(5), Kim HS(6), Kim SJ(6).",Clin Radiol. 2024 Jul;79(7):e924-e932. doi: 10.1016/j.crad.2024.03.004. Epub,10.1016/j.crad.2024.03.004,38622045.0,A,Structural imaging,Hybrid systematic review and own cohort,OWN_COHORT_ONLY,Do not use a single MRI sign as a gatekeeper; separate short-term association from durable benefit.,Hybrid design—do not pool own cohort as if review-level evidence; permissive response definition; attrition to 1 year; no consistent external replication.,Prognostic association.,ADJUDICATED_FINAL,Yun SY(1) et al. (2024). Efficacy and safety of shunt surgery in patients with idiopathic normal-pressure hydrocephalus: can we predict shunt response by preoperative magnetic resonance imaging (MRI)? Clin Radiol. 2024 Jul;79(7):e924-e932. doi: 10.1016/j.crad.2024.03.004. Epub. DOI: 10.1016/j.crad.2024.03.004.,South Korea,Evaluate shunt efficacy/safety and whether preoperative MRI predicts response; includes own cohort plus systematic review/meta-analysis.,Hybrid retrospective cohort + systematic review/meta-analysis,NR,"PubMed, Embase",4 February 2022,English,NR,iNPH shunt cohorts evaluating preoperative MRI features and postoperative response.,21,21,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,Observational MRI cohorts; own retrospective cohort n=192,VP shunt,"DESH, Evans index, callosal angle, high-convexity tightness, flow void, WMH",Post-shunt response,"Global, gait/cognition/urinary composites",1 month and 1 year in own cohort; varied in review,Systematic review with meta-analysis plus separate own-cohort logistic regression,YES,NR,NR,NR,NR,MESCLADOS 3,206-214
FT-023,INPH-U0489,Predictors of Satisfactory Surgical Outcome in Idiopathic Normal Pressure Hydrocephalus (Review).,2024,"Stanishevskiy AV(1), Gavrilov GV(2), Radkov MN(3), Adlejba BG(1), Svistov DV(4).",Sovremennye Tehnologii v Medicine (2024) 16:2 Article Number: 68. Date of Publication: 2024,10.17691/stm2024.16.2.07,39539751.0,A,Structural imaging,Multimodal radiological predictors,INCOMPLETE_OR_PLACEHOLDER,"Use imaging to support diagnosis and multimodal selection, not to deny surgery based on one absent sign.",Includes a prior meta-analysis alongside primary studies; possible overlap/double counting; multilingual reporting; heterogeneous evidence ranks.,Prognostic association.,ADJUDICATED_FINAL,Stanishevskiy AV(1) et al. (2024). Predictors of Satisfactory Surgical Outcome in Idiopathic Normal Pressure Hydrocephalus (Review). Sovremennye Tehnologii v Medicine (2024) 16:2 Article Number: 68. Date of Publication: 2024. DOI: 10.17691/stm2024.16.2.07.,Russia,Identify imaging predictors of satisfactory surgical outcome in iNPH.,Systematic review,NR,"RSCI/eLIBRARY, PubMed/MEDLINE, Scopus, Web of Science, Google Scholar",NR,NR,NR,Studies of preoperative imaging markers and postoperative shunt outcomes in iNPH.,28,28,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,Observational imaging cohorts,"VP/LP shunts, varied","Structural MRI/CT, DESH, callosal angle, volumetry, DTI, perfusion",Shunt responder status,Global and domain outcomes,Varied,Structured narrative synthesis,NO,NR,NR,NR,NR,MESCLADOS 3,21-30
FT-024,INPH-U0512,Gait Analysis in Idiopathic Normal Pressure Hydrocephalus: A Meta-Analysis.,2023,"Passaretti, Massimiliano Maranzano, Alessio Bluett, Brent Rajalingam, Rajasumi Fasano, Alfonso",Movement Disorders Clinical Practice (2023) 10:11 (1574-1584). Date of Publication: 1 Nov 2023,10.1002/mdc3.13816,38026510.0,B,Gait and mobility measurement,Gait meta-analysis,INCOMPLETE_OR_PLACEHOLDER,Assessment timing materially changes classification; predefine a 24–48 h window and do not rely on cadence alone.,High heterogeneity; sparse nonresponder data; supplementary-table dependence; response definitions vary.,Outcome measurement/test response.,ADJUDICATED_FINAL,Passaretti et al. (2023). Gait Analysis in Idiopathic Normal Pressure Hydrocephalus: A Meta-Analysis. Movement Disorders Clinical Practice (2023) 10:11 (1574-1584). Date of Publication: 1 Nov 2023. DOI: 10.1002/mdc3.13816.,Germany,Quantify gait-analysis findings and changes after CSF drainage/shunt in iNPH.,Systematic review and meta-analysis,CRD42022301725,"MEDLINE/PubMed, Embase, Cochrane CENTRAL, eLIBRARY",NR,NR,NR,Instrumented gait studies in iNPH with control or intervention comparisons.,17,17,NÃO EXTRAÍVEL,527,527,NÃO EXTRAÍVEL,Observational gait studies,CSF tap/drainage and shunt,"Gait velocity, stride length, cadence, TUG and instrumented parameters",Pre/post intervention or comparator groups,Gait/mobility,Acute and postoperative,Random-effects meta-analysis and narrative synthesis,YES,Newcastle-Ottawa Scale,NR,NR,NR,MESCLADOS 2,192-202
FT-025,INPH-U0514,Health-Related Quality of Life and Role of Surgical Treatment in Idiopathic Normal Pressure Hydrocephalus: A Systematic Review.,2023,"Torregrossa, Fabio Buscemi, Felice Gulino, Vincenzo Campisi, Benedetta Maria Teresi, Gaia Grasso, Giovanni",World Neurosurg. 2023 Nov;179:197-203.e1. doi: 10.1016/j.wneu.2023.08.105. Epub,10.1016/j.wneu.2023.08.105,37657591.0,B,Patient-centered benefit and harm,Health-related quality of life,INCOMPLETE_OR_PLACEHOLDER,HRQoL should be a core surgical endpoint and counseling should distinguish early symptom gain from durable patient-valued benefit.,Internal study-count discrepancy; instrument heterogeneity; few long-term studies; confounding and attrition.,Outcome measurement with exploratory prognostic factors.,ADJUDICATED_FINAL,Torregrossa et al. (2023). Health-Related Quality of Life and Role of Surgical Treatment in Idiopathic Normal Pressure Hydrocephalus: A Systematic Review. World Neurosurg. 2023 Nov;179:197-203.e1. doi: 10.1016/j.wneu.2023.08.105. Epub. DOI: 10.1016/j.wneu.2023.08.105.,UK/Sweden,Review health-related quality of life in iNPH and the role of shunt treatment.,Systematic review,NR,"PubMed/MEDLINE, Scopus and reference checking",NR,English,Reference checking,Studies reporting HRQoL in iNPH before/after surgical treatment.,12,12,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,Observational cohorts,Shunt surgery,HRQoL instruments,Within-subject postoperative HRQoL,Quality of life,Varied,Narrative synthesis,NO,NR,NR,NR,NR,MESCLADOS 3,157-164
FT-027,INPH-U0521,Utility of Machine learning in the Management of Normal Pressure Hydrocephalus (NPH): A Systematic Review.,2023,"Pahwa, Bhavya Tayal, Anish Shukla, Anushruti Soni, Ujjwal Gupta, Namrata Bassey, Esther Sharma, Mayur",World Neurosurg. 2023 Sep;177:e480-e492. doi: 10.1016/j.wneu.2023.06.080. Epub,10.1016/j.wneu.2023.06.080,37356488.0,A-PARCIAL,AI and multivariable prediction,Machine-learning applications,INCOMPLETE_OR_PLACEHOLDER,"Performance claims are not ready for deployment; prioritize external validation, calibration, missing-data handling and clinical utility.",Diagnosis and prediction mixed; model-level non-independence; high PROBAST risk; selective reporting; no reliable clinical thresholds.,Prediction modeling.,ADJUDICATED_FINAL,Pahwa et al. (2023). Utility of Machine learning in the Management of Normal Pressure Hydrocephalus (NPH): A Systematic Review. World Neurosurg. 2023 Sep;177:e480-e492. doi: 10.1016/j.wneu.2023.06.080. Epub. DOI: 10.1016/j.wneu.2023.06.080.,India,"Review machine-learning applications in NPH management, including treatment-response prediction.",Systematic review,NR,"PubMed, Embase, Web of Science",January 2023,NR,NR,ML studies in NPH; only separable iNPH treatment-response models eligible to prognostic layer.,22,22,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,Prediction-model studies,"Shunt/drainage, subset",Clinical/imaging/CSF/ML features,Diagnosis or response; response subset separated,"Global/gait, mixed",Varied,Structured narrative synthesis,NO,PROBAST,NR,NR,NR,MESCLADOS 2,161-173
FT-028,INPH-U0534,Radiological predictors of shunt response in the diagnosis and treatment of idiopathic normal pressure hydrocephalus: a systematic review and meta-analysis.,2023,"Thavarajasingam, Santhosh G. El-Khatib, Mahmoud Vemulapalli, Kalyan Iradukunda, Hector A. Sinzinkayo Vishnu, Sajeenth K. Borchert, Robin Russo, Salvatore Eide, Per K.",Acta Neurochir (Wien). 2023 Feb;165(2):369-419. doi: 10.1007/s00701-022-05402-8.,10.1007/s00701-022-05402-8,36435931.0,A,Structural imaging,Radiological predictor meta-analysis,INCOMPLETE_OR_PLACEHOLDER,No imaging marker should be used alone to exclude a candidate; combine with clinical and physiologic evidence.,Univariate pooling; multiple markers; heterogeneous thresholds/outcomes; possible cohort overlap.,Diagnostic prediction.,ADJUDICATED_FINAL,Thavarajasingam et al. (2023). Radiological predictors of shunt response in the diagnosis and treatment of idiopathic normal pressure hydrocephalus: a systematic review and meta-analysis. Acta Neurochir (Wien). 2023 Feb;165(2):369-419. doi: 10.1007/s00701-022-05402-8.. DOI: 10.1007/s00701-022-05402-8.,UK/Norway/Germany,Identify radiological predictors of shunt response in iNPH and quantify diagnostic effectiveness.,Systematic review and meta-analysis,NR,"Embase, MEDLINE, Scopus, PubMed, Google Scholar, JSTOR",NR,NR,Google Scholar/JSTOR,Original iNPH studies of preoperative radiological markers and postoperative shunt response.,28,28,NÃO EXTRAÍVEL,1676,1676,1676,Observational imaging cohorts,"Shunt, varied","26 radiological markers; five meta-analyzed (DESH, callosal angle, PVWM, CBF, CT cisternography)",Responder versus non-responder,Global/composite clinical response,Varied,Univariate diagnostic meta-analysis and narrative synthesis,YES,ROBINS-I,OCEBM levels,NR,NR,MESCLADOS 3,106-156
FT-029,INPH-U0561,Can preoperative brain imaging features predict shunt response in idiopathic normal pressure hydrocephalus? A PRISMA review.,2022,"Carlsen, Jonathan Frederik Munch, Tina Norgaard Hansen, Adam Espe Hasselbalch, Steen Gregers Rykkje, Alexander Malcolm",Neuroradiology. 2022 Nov;64(11):2119-2133. doi: 10.1007/s00234-022-03021-9. Epub,10.1007/s00234-022-03021-9,35871239.0,A,Structural imaging,Preoperative brain imaging,INCOMPLETE_OR_PLACEHOLDER,Absence of DESH or another classic sign should not automatically prevent shunting.,Overlapping cohorts explicitly present; broad parameter set; inconsistent thresholds and response definitions.,Prognostic association.,ADJUDICATED_FINAL,Carlsen et al. (2022). Can preoperative brain imaging features predict shunt response in idiopathic normal pressure hydrocephalus? A PRISMA review. Neuroradiology. 2022 Nov;64(11):2119-2133. doi: 10.1007/s00234-022-03021-9. Epub. DOI: 10.1007/s00234-022-03021-9.,Denmark,Determine whether preoperative CT/MRI features discriminate iNPH shunt responders from non-responders.,PRISMA systematic review,CRD42021261092,"PubMed, Cochrane Library, Embase, Web of Science",26 June 2022,English,NR,Peer-reviewed iNPH-only studies since 2005 with pre-shunt CT/MRI and triad-based shunt-response evaluation.,27,27,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,Observational imaging cohorts,VPS/LPS/VAS or ETV as accepted by authors,Structural and physiological CT/MRI features,Responder versus non-responder,"Summary response across gait, cognition and urinary domains",Varied,Narrative synthesis of statistical comparisons,NO,NR,NR,NR,NR,MESCLADOS 1,89-103
FT-030,INPH-U0575,Cerebrospinal fluid and venous biomarkers of shunt-responsive idiopathic normal pressure hydrocephalus: a systematic review and meta-analysis.,2022,"Thavarajasingam, Santhosh G. El-Khatib, Mahmoud Vemulapalli, Kalyan V. Iradukunda, Hector A. Sinzinkayo Laleye, Joshua Russo, Salvatore Eichhorn, Christian Eide, Per K.","Acta Neurochirurgica 164, 1719–1746 (2022). Published 1 March 2022.",10.1007/s00701-022-05154-5,35230552.0,A,Biomarkers and pathology,CSF and venous biomarkers,COMPLETE_FOR_CCA,"Tau may indicate competing/irreversible pathology and inform counseling, but cannot serve as a stand-alone exclusion marker.",Few studies; SMD direction requires care; assay/cutoff heterogeneity; no pooled sensitivity/specificity; overlap with broader biomarker reviews.,Prognostic biomarker association.,ADJUDICATED_FINAL,"Thavarajasingam, S.G., El-Khatib, M., Vemulapalli, K.V. et al. (2022). Cerebrospinal fluid and venous biomarkers of shunt-responsive idiopathic normal pressure hydrocephalus: a systematic review and meta-analysis. Acta Neurochirurgica 164, 1719–1746. Published 1 March 2022. https://doi.org/10.1007/s00701-022-05154-5.",UK/Norway/Germany,Identify CSF and venous biomarkers predicting shunt-responsive iNPH.,Systematic review and meta-analysis,NR,"Embase, MEDLINE, Scopus, PubMed, Google Scholar, JSTOR",NR,NR,Google Scholar/JSTOR,Original biomarker studies comparing preoperative levels between shunt responders and non-responders.,13,13,NÃO_EXTRAÍVEL,776,776,776,Observational biomarker cohorts,"Shunt, varied","Aβ42, total tau, phosphorylated tau, miscellaneous CSF/venous biomarkers",Responder versus non-responder,Global/composite response; some domain outcomes,Varied,Univariate random-effects meta-analysis and narrative synthesis,YES,ROBINS-I,OCEBM levels,NR,NR,MESCLADOS 3,78-105
FT-031,INPH-U0619,Clinical predictors of shunt response in the diagnosis and treatment of idiopathic normal pressure hydrocephalus: a systematic review and meta-analysis.,2021,"Thavarajasingam, Santhosh G. El-Khatib, Mahmoud Rea, Mark Russo, Salvatore Lemcke, Johannes Al-Nusair, Lana Vajkoczy, Peter",Acta Neurochirurgica (2021) 163:10 (2641-2672). Date of Publication: 1 Oct 2021,10.1007/s00701-021-04922-z,34235589.0,A,Temporary CSF drainage and CSF dynamics,Comparative clinical predictor accuracy,INCOMPLETE_OR_PLACEHOLDER,A staged multimodal pathway is more defensible than a single-test rule. Invasiveness and evidence quality must temper the apparent DOR ranking.,Pooling across heterogeneous thresholds; verification bias; DOR can exaggerate clinical utility; overlapping primary cohorts/reviews.,Diagnostic prediction.,ADJUDICATED_FINAL,Thavarajasingam et al. (2021). Clinical predictors of shunt response in the diagnosis and treatment of idiopathic normal pressure hydrocephalus: a systematic review and meta-analysis. Acta Neurochirurgica (2021) 163:10 (2641-2672). Date of Publication: 1 Oct 2021. DOI: 10.1007/s00701-021-04922-z.,UK/Germany,Identify clinical and invasive-test predictors of shunt response in iNPH.,Systematic review and diagnostic meta-analysis,NR,"Embase, MEDLINE, Scopus, PubMed, Google Scholar, JSTOR",NR,NR,Google Scholar/JSTOR,"Original iNPH studies of clinical features, ELD, infusion test, ICP monitoring or tap test with post-shunt response.",35,35,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,Observational diagnostic/prognostic cohorts,"Shunt, varied",Clinical features; ELD; infusion test; ICP monitoring; tap test,Post-shunt response,Global and domain outcomes,"Mostly 3-12 months, varied",Univariate and bivariate diagnostic meta-analysis,YES,QUADAS-2,NR,NR,NR,MESCLADOS 3,46-77
