master_id,primary_study_or_review_level,domain,instrument,threshold,definition_class,assessor,patient_reported,timing,composite_rule,any_one_domain_counts_as_response,validated_for_inph,mcid_source,notes,pdf,page_or_table,definition_class_norm,patient_reported_norm,validated_norm,mcid_norm,outcome_group,source_label_validated_threshold,general_instrument_validation_only,threshold_validated_for_inph_shunt_response,threshold_validation_status,patient_reported_clear,mcid_explicitly_unreported,mcid_not_applicable,instrument_validation_source_described,mcid_source_specific_to_inph_shunt_response,statistical_change_only,author_defined
FT-013,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,1 month to long-term,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.220–235,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-015,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.174–183,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-016,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Hours to 1 week after tap; postoperative varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.48–65,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-018,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Acute to long-term,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.149–160,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-020,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Acute after tap and postoperative varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.226–250,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-021,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.149–159,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-022,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,1 month and 1 year in own cohort; varied in review,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.206–214,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-023,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.21–30,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-024,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Acute and postoperative,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.192–202,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-025,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.157–164,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-027,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.161–173,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-028,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.106–156,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-029,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.89–103,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-030,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.78–105,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-031,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,"Mostly 3-12 months, varied",Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.46–77,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-032,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.184–191,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-034,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.100–121,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-036,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,0.25-12 months (mean 4.3),Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.141–148,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-038,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.248–259,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-039,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.212–219,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-041,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Mostly 3-12 months,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.203–211,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-043,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,3–24 months across studies,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.122–128,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-044,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.1–9,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-045,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Short and long term,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.165–171,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-049,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.31–45,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-050,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.88–99,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-051,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Short term to >5 years,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.10–22,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-053,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Short and prolonged follow-up,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.205–225,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-056,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Mostly cross-sectional; limited longitudinal,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.215–242,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-059,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,6 months to 5 years,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.182–190,AUTHOR_DEFINED,MIXED/NR,INCERTO,GENERALLY_NOT_REPORTED,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-002,PRIMARY_STUDY_LEVEL,Cognition,Mini-Mental State Examination (MMSE),Study-specific change; often statistical significance rather than MCID,STATISTICAL_CHANGE_ONLY,Clinician/neuropsychologist,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Frequently used; ceiling/floor and domain coverage limitations.,MESCLADOS 1,M1 pp.191–204; tables/results,STATISTICAL_CHANGE_ONLY,NO,INCERTO,NR,Cognition,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
FT-002,PRIMARY_STUDY_LEVEL,Cognition,Montreal Cognitive Assessment (MoCA),Study-specific,AUTHOR_DEFINED,Clinician/neuropsychologist,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Used less consistently than MMSE.,MESCLADOS 1,M1 pp.191–204; tables/results,AUTHOR_DEFINED,NO,INCERTO,NR,Cognition,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-002,PRIMARY_STUDY_LEVEL,Cognition,Trail Making Test A/B,Study-specific,STATISTICAL_CHANGE_ONLY,Clinician/neuropsychologist,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Executive/processing-speed domain.,MESCLADOS 1,M1 pp.191–204; tables/results,STATISTICAL_CHANGE_ONLY,NO,INCERTO,NR,Cognition,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
FT-002,PRIMARY_STUDY_LEVEL,Cognition,Rey Auditory Verbal Learning Test / memory batteries,Study-specific,STATISTICAL_CHANGE_ONLY,Clinician/neuropsychologist,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Memory outcomes heterogeneous.,MESCLADOS 1,M1 pp.191–204; tables/results,STATISTICAL_CHANGE_ONLY,NO,INCERTO,NR,Cognition,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
FT-002,PRIMARY_STUDY_LEVEL,Cognition,Frontal Assessment Battery / executive tests,Study-specific,STATISTICAL_CHANGE_ONLY,Clinician/neuropsychologist,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Executive-function outcomes.,MESCLADOS 1,M1 pp.191–204; tables/results,STATISTICAL_CHANGE_ONLY,NO,INCERTO,NR,Cognition,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
FT-002,PRIMARY_STUDY_LEVEL,Cognition,Composite cognitive improvement,Any improvement on one or more tests or author-defined composite,AUTHOR_DEFINED,Clinician/neuropsychologist,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Pooled cognitive-improvement rate depended on objective-definition subgroup.,MESCLADOS 1,M1 pp.191–204; tables/results,AUTHOR_DEFINED,NO,INCERTO,NR,Cognition,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FT-003,REVIEW_LEVEL,Global response,Binary responder/nonresponder,Study author definition,AUTHOR_DEFINED,Mixed,Mixed,Varied,Global binary,INCERTO,NO/INCERTO,NR,Primary comparative outcome; definitions varied across complex/pure cohorts.,MESCLADOS 2,M2 pp.78–87,AUTHOR_DEFINED,MIXED,NO/INCERTO,NR,Global / mixed,FALSE,FALSE,FALSE,NOT_VALIDATED_OR_NOT_REPORTED,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
