master_id,primary_study_or_review_level,domain,instrument,threshold,definition_class,assessor,patient_reported,timing,composite_rule,any_one_domain_counts_as_response,validated_for_inph,mcid_source,notes,pdf,page_or_table
FT-016,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Hours to 1 week after tap; postoperative varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.48–65
FT-018,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Acute to long-term,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.149–160
FT-020,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Acute after tap and postoperative varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.226–250
FT-021,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.149–159
FT-022,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,1 month and 1 year in own cohort; varied in review,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.206–214
FT-023,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.21–30
FT-024,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Acute and postoperative,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.192–202
FT-025,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.157–164
FT-027,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.161–173
FT-028,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.106–156
FT-029,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.89–103
FT-030,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.78–105
FT-031,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,"Mostly 3-12 months, varied",Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.46–77
FT-032,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.184–191
FT-034,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.100–121
FT-036,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,0.25-12 months (mean 4.3),Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.141–148
FT-038,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.248–259
FT-039,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.212–219
FT-041,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Mostly 3-12 months,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.203–211
FT-043,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,3–24 months across studies,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.122–128
FT-044,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.1–9
FT-045,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Short and long term,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.165–171
FT-049,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.31–45
FT-050,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Varied,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.88–99
FT-051,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Short term to >5 years,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 2,M2 pp.10–22
FT-053,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Short and prolonged follow-up,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.205–225
FT-056,REVIEW_LEVEL,Global / domain-specific response measurement,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,Mostly cross-sectional; limited longitudinal,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 3,M3 pp.215–242
FT-059,REVIEW_LEVEL,Global shunt response,Study-specific instruments and response definitions,Varied or not uniformly reported,AUTHOR_DEFINED,Mixed/NR,Mixed/NR,6 months to 5 years,Varied across included studies,INCERTO,INCERTO,Generally not reported,Review-level heterogeneity; this row does not imply equivalence among definitions.,MESCLADOS 1,M1 pp.182–190
FT-002,PRIMARY_STUDY_LEVEL,Cognition,Mini-Mental State Examination (MMSE),Study-specific change; often statistical significance rather than MCID,STATISTICAL_CHANGE_ONLY,Clinician/neuropsychologist,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Frequently used; ceiling/floor and domain coverage limitations.,MESCLADOS 1,M1 pp.191–204; tables/results
FT-002,PRIMARY_STUDY_LEVEL,Cognition,Montreal Cognitive Assessment (MoCA),Study-specific,AUTHOR_DEFINED,Clinician/neuropsychologist,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Used less consistently than MMSE.,MESCLADOS 1,M1 pp.191–204; tables/results
FT-002,PRIMARY_STUDY_LEVEL,Cognition,Trail Making Test A/B,Study-specific,STATISTICAL_CHANGE_ONLY,Clinician/neuropsychologist,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Executive/processing-speed domain.,MESCLADOS 1,M1 pp.191–204; tables/results
FT-002,PRIMARY_STUDY_LEVEL,Cognition,Rey Auditory Verbal Learning Test / memory batteries,Study-specific,STATISTICAL_CHANGE_ONLY,Clinician/neuropsychologist,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Memory outcomes heterogeneous.,MESCLADOS 1,M1 pp.191–204; tables/results
FT-002,PRIMARY_STUDY_LEVEL,Cognition,Frontal Assessment Battery / executive tests,Study-specific,STATISTICAL_CHANGE_ONLY,Clinician/neuropsychologist,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Executive-function outcomes.,MESCLADOS 1,M1 pp.191–204; tables/results
FT-002,PRIMARY_STUDY_LEVEL,Cognition,Composite cognitive improvement,Any improvement on one or more tests or author-defined composite,AUTHOR_DEFINED,Clinician/neuropsychologist,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Pooled cognitive-improvement rate depended on objective-definition subgroup.,MESCLADOS 1,M1 pp.191–204; tables/results
FT-003,REVIEW_LEVEL,Global response,Binary responder/nonresponder,Study author definition,AUTHOR_DEFINED,Mixed,Mixed,Varied,Global binary,INCERTO,NO/INCERTO,NR,Primary comparative outcome; definitions varied across complex/pure cohorts.,MESCLADOS 2,M2 pp.78–87
FT-003,REVIEW_LEVEL,Cognition,Domain-specific continuous scales,Raw-score direction harmonized; SMCR computed with r=0.5,STATISTICAL_CHANGE_ONLY,Mixed,Mixed,Varied,Separate domains,NO,NO,NR,"Effect metric is standardized mean change, not an MCID or individual response threshold.",MESCLADOS 2,M2 pp.78–87; Tables 3–5
FT-003,REVIEW_LEVEL,Gait,Domain-specific continuous scales,Raw-score direction harmonized; SMCR computed with r=0.5,STATISTICAL_CHANGE_ONLY,Mixed,Mixed,Varied,Separate domains,NO,NO,NR,"Effect metric is standardized mean change, not an MCID or individual response threshold.",MESCLADOS 2,M2 pp.78–87; Tables 3–5
FT-003,REVIEW_LEVEL,General function,Domain-specific continuous scales,Raw-score direction harmonized; SMCR computed with r=0.5,STATISTICAL_CHANGE_ONLY,Mixed,Mixed,Varied,Separate domains,NO,NO,NR,"Effect metric is standardized mean change, not an MCID or individual response threshold.",MESCLADOS 2,M2 pp.78–87; Tables 3–5
FT-003,REVIEW_LEVEL,Incontinence,Domain-specific continuous scales,Raw-score direction harmonized; SMCR computed with r=0.5,STATISTICAL_CHANGE_ONLY,Mixed,Mixed,Varied,Separate domains,NO,NO,NR,"Effect metric is standardized mean change, not an MCID or individual response threshold.",MESCLADOS 2,M2 pp.78–87; Tables 3–5
FT-005,PRIMARY_STUDY_LEVEL,Cognition,MMSE,Study-specific,AUTHOR_DEFINED,Neuropsychologist/clinician,NO,Post-tap and/or post-shunt; varied,NA,NO,INCERTO,NR,Review proposed an evidence-based battery but did not establish a universal iNPH MCID.,MESCLADOS 2,M2 pp.236–247
FT-005,PRIMARY_STUDY_LEVEL,Cognition,MoCA,Study-specific,AUTHOR_DEFINED,Neuropsychologist/clinician,NO,Post-tap and/or post-shunt; varied,NA,NO,INCERTO,NR,Review proposed an evidence-based battery but did not establish a universal iNPH MCID.,MESCLADOS 2,M2 pp.236–247
FT-005,PRIMARY_STUDY_LEVEL,Cognition,Frontal Assessment Battery,Study-specific,AUTHOR_DEFINED,Neuropsychologist/clinician,NO,Post-tap and/or post-shunt; varied,NA,NO,INCERTO,NR,Review proposed an evidence-based battery but did not establish a universal iNPH MCID.,MESCLADOS 2,M2 pp.236–247
FT-005,PRIMARY_STUDY_LEVEL,Cognition,Trail Making Test,Study-specific,AUTHOR_DEFINED,Neuropsychologist/clinician,NO,Post-tap and/or post-shunt; varied,NA,NO,INCERTO,NR,Review proposed an evidence-based battery but did not establish a universal iNPH MCID.,MESCLADOS 2,M2 pp.236–247
FT-005,PRIMARY_STUDY_LEVEL,Cognition,Digit Span,Study-specific,AUTHOR_DEFINED,Neuropsychologist/clinician,NO,Post-tap and/or post-shunt; varied,NA,NO,INCERTO,NR,Review proposed an evidence-based battery but did not establish a universal iNPH MCID.,MESCLADOS 2,M2 pp.236–247
FT-005,PRIMARY_STUDY_LEVEL,Cognition,Verbal learning/memory tests,Study-specific,AUTHOR_DEFINED,Neuropsychologist/clinician,NO,Post-tap and/or post-shunt; varied,NA,NO,INCERTO,NR,Review proposed an evidence-based battery but did not establish a universal iNPH MCID.,MESCLADOS 2,M2 pp.236–247
FT-007,PRIMARY_STUDY_LEVEL,Apathy,Apathy Evaluation Scale / apathy scales,Validated scale cutoff or study definition,VALIDATED_THRESHOLD,Clinician/research assessor,MIXED,Baseline and post-treatment; varied,NA,NO,Not specifically for iNPH,Instrument validation source varies,"Validated psychiatric instruments, but not necessarily validated as shunt-response measures in iNPH.",MESCLADOS 1,M1 pp.37–47
FT-007,PRIMARY_STUDY_LEVEL,Depression,Geriatric Depression Scale / depression scales,Validated scale cutoff or study definition,VALIDATED_THRESHOLD,Clinician/research assessor,MIXED,Baseline and post-treatment; varied,NA,NO,Not specifically for iNPH,Instrument validation source varies,"Validated psychiatric instruments, but not necessarily validated as shunt-response measures in iNPH.",MESCLADOS 1,M1 pp.37–47
FT-007,PRIMARY_STUDY_LEVEL,Multiple neuropsychiatric symptoms,Neuropsychiatric Inventory,Validated scale cutoff or study definition,VALIDATED_THRESHOLD,Clinician/research assessor,MIXED,Baseline and post-treatment; varied,NA,NO,Not specifically for iNPH,Instrument validation source varies,"Validated psychiatric instruments, but not necessarily validated as shunt-response measures in iNPH.",MESCLADOS 1,M1 pp.37–47
FT-007,PRIMARY_STUDY_LEVEL,Psychiatric diagnosis,Clinician diagnosis/medical record,Validated scale cutoff or study definition,VALIDATED_THRESHOLD,Clinician/research assessor,MIXED,Baseline and post-treatment; varied,NA,NO,Not specifically for iNPH,Instrument validation source varies,"Validated psychiatric instruments, but not necessarily validated as shunt-response measures in iNPH.",MESCLADOS 1,M1 pp.37–47
FT-008,PRIMARY_STUDY_LEVEL,Atypical/neuropsychiatric symptoms,Case-series clinical description,Author-defined improvement,CLINICAL_JUDGMENT,Treating clinician,Mixed,Post-shunt; varied,NA,NO,NO,NR,Atypical manifestations were often reported descriptively; causal attribution to shunt response is limited.,MESCLADOS 1,M1 pp.129–142
FT-012,PRIMARY_STUDY_LEVEL,Gait,10-meter walk test,Study-specific percentage/time change,AUTHOR_DEFINED,Research assessor,NO,2 h to 72 h after tap; postoperative varied,Varied,INCERTO,INCERTO,NR,Threshold heterogeneity was a major source of diagnostic-accuracy heterogeneity.,MESCLADOS 1,M1 pp.5–22; Tables/Supplement
FT-012,PRIMARY_STUDY_LEVEL,Gait,Timed Up and Go (TUG),Study-specific; often percentage or seconds change,AUTHOR_DEFINED,Research assessor,NO,1–2 days after tap; postoperative varied,Varied,INCERTO,INCERTO,NR,Threshold heterogeneity was a major source of diagnostic-accuracy heterogeneity.,MESCLADOS 1,M1 pp.5–22; Tables/Supplement
FT-012,PRIMARY_STUDY_LEVEL,Gait,3-m reciprocating walking test,Study-specific,AUTHOR_DEFINED,Research assessor,NO,After tap; varied,Varied,INCERTO,INCERTO,NR,Threshold heterogeneity was a major source of diagnostic-accuracy heterogeneity.,MESCLADOS 1,M1 pp.5–22; Tables/Supplement
FT-012,PRIMARY_STUDY_LEVEL,Cognition,MMSE,Study-specific point change,AUTHOR_DEFINED,Research assessor,NO,Up to 1 week after tap; postoperative varied,Varied,INCERTO,INCERTO,NR,Threshold heterogeneity was a major source of diagnostic-accuracy heterogeneity.,MESCLADOS 1,M1 pp.5–22; Tables/Supplement
FT-012,PRIMARY_STUDY_LEVEL,Cognition,Bingley memory / reaction-time tests,Study-specific,AUTHOR_DEFINED,Research assessor,NO,Hours after tap; postoperative varied,Varied,INCERTO,INCERTO,NR,Threshold heterogeneity was a major source of diagnostic-accuracy heterogeneity.,MESCLADOS 1,M1 pp.5–22; Tables/Supplement
FT-012,PRIMARY_STUDY_LEVEL,Global/triad,iNPH Grading Scale (iNPHGS),Study-specific improvement in one or more domains,AUTHOR_DEFINED,Research assessor,NO,1–7 days after tap; postoperative varied,Varied,INCERTO,INCERTO,NR,Threshold heterogeneity was a major source of diagnostic-accuracy heterogeneity.,MESCLADOS 1,M1 pp.5–22; Tables/Supplement
FT-012,PRIMARY_STUDY_LEVEL,Function,modified Rankin Scale,Study-specific grade improvement,AUTHOR_DEFINED,Research assessor,NO,Post-shunt; varied,Varied,INCERTO,INCERTO,NR,Threshold heterogeneity was a major source of diagnostic-accuracy heterogeneity.,MESCLADOS 1,M1 pp.5–22; Tables/Supplement
FT-013,REVIEW_LEVEL,Gait,Symptom-specific clinical scales,Any author-defined postoperative improvement,AUTHOR_DEFINED,Mixed,Mixed,Short to long term,Separate domains,NO,INCERTO,NR,Review synthesized temporal patterns; timing and instruments varied.,MESCLADOS 2,M2 pp.220–235
FT-013,REVIEW_LEVEL,Cognition,Symptom-specific clinical scales,Any author-defined postoperative improvement,AUTHOR_DEFINED,Mixed,Mixed,Short to long term,Separate domains,NO,INCERTO,NR,Review synthesized temporal patterns; timing and instruments varied.,MESCLADOS 2,M2 pp.220–235
FT-013,REVIEW_LEVEL,Urinary symptoms,Symptom-specific clinical scales,Any author-defined postoperative improvement,AUTHOR_DEFINED,Mixed,Mixed,Short to long term,Separate domains,NO,INCERTO,NR,Review synthesized temporal patterns; timing and instruments varied.,MESCLADOS 2,M2 pp.220–235
FT-015,GUIDELINE/REVIEW_LEVEL,Global response,Six-step algorithm response assessment,Multimodal clinical judgment,CLINICAL_JUDGMENT,Multidisciplinary team,Mixed,Preoperative drainage and post-shunt follow-up,Multimodal,INCERTO,NO,NR,Algorithmic recommendation; not a validated individual MCID.,MESCLADOS 2,M2 pp.174–183
FT-016,PRIMARY_STUDY_LEVEL,Gait,Timed Up and Go / walking speed,Commonly ≥10% improvement or study-specific,AUTHOR_DEFINED,Mixed,Mixed,Hours to days after tap; postoperative varied,Varied,VARIED,INCERTO,NR,"Thresholds varied; no single standard established. Large volume, timing, and criteria were not standardized.",MESCLADOS 1,M1 pp.48–65
FT-016,PRIMARY_STUDY_LEVEL,Gait,10-meter walk / gait velocity,Study-specific absolute or percent change,AUTHOR_DEFINED,Mixed,Mixed,Hours to days after tap; postoperative varied,Varied,VARIED,INCERTO,NR,"Timing strongly influences detection. Large volume, timing, and criteria were not standardized.",MESCLADOS 1,M1 pp.48–65
FT-016,PRIMARY_STUDY_LEVEL,Cognition,MMSE / MoCA and neuropsychological tests,Study-specific point change,AUTHOR_DEFINED,Mixed,Mixed,Hours to days after tap; postoperative varied,Varied,VARIED,INCERTO,NR,"Delayed cognitive reassessment may capture response. Large volume, timing, and criteria were not standardized.",MESCLADOS 1,M1 pp.48–65
FT-016,PRIMARY_STUDY_LEVEL,Urinary,iNPHGS urinary domain / symptom report,Study-specific,AUTHOR_DEFINED,Mixed,Mixed,Hours to days after tap; postoperative varied,Varied,VARIED,INCERTO,NR,"Often patient/caregiver-reported. Large volume, timing, and criteria were not standardized.",MESCLADOS 1,M1 pp.48–65
FT-016,PRIMARY_STUDY_LEVEL,Global,Any-domain response,Improvement in any assessed domain,AUTHOR_DEFINED,Mixed,Mixed,Hours to days after tap; postoperative varied,Varied,YES/VARIED,INCERTO,NR,"Composite rules varied; any one domain often counted in some studies. Large volume, timing, and criteria were not standardized.",MESCLADOS 1,M1 pp.48–65
FT-018,PRIMARY_STUDY_LEVEL,Gait/mobility,Timed Up and Go,Study-specific change,STATISTICAL_CHANGE_ONLY,Instrumented/clinical assessor,NO,After tap and/or shunt; varied,NA,NO,INCERTO,NR,Most reports used statistical or author-defined change rather than an iNPH-specific MCID.,MESCLADOS 2,M2 pp.149–160
FT-018,PRIMARY_STUDY_LEVEL,Gait/mobility,10-meter walk / gait speed,Study-specific change,STATISTICAL_CHANGE_ONLY,Instrumented/clinical assessor,NO,After tap and/or shunt; varied,NA,NO,INCERTO,NR,Most reports used statistical or author-defined change rather than an iNPH-specific MCID.,MESCLADOS 2,M2 pp.149–160
FT-018,PRIMARY_STUDY_LEVEL,Gait/mobility,Stride length/cadence,Study-specific change,STATISTICAL_CHANGE_ONLY,Instrumented/clinical assessor,NO,After tap and/or shunt; varied,NA,NO,INCERTO,NR,Most reports used statistical or author-defined change rather than an iNPH-specific MCID.,MESCLADOS 2,M2 pp.149–160
FT-018,PRIMARY_STUDY_LEVEL,Gait/mobility,Balance/postural stability measure,Study-specific change,STATISTICAL_CHANGE_ONLY,Instrumented/clinical assessor,NO,After tap and/or shunt; varied,NA,NO,INCERTO,NR,Most reports used statistical or author-defined change rather than an iNPH-specific MCID.,MESCLADOS 2,M2 pp.149–160
FT-020,PRIMARY_STUDY_LEVEL,Gait/mobility,Timed Up and Go,Study-specific change,STATISTICAL_CHANGE_ONLY,Instrumented/clinical assessor,NO,After tap and/or shunt; varied,NA,NO,INCERTO,NR,Most reports used statistical or author-defined change rather than an iNPH-specific MCID.,MESCLADOS 1,M1 pp.226–250
FT-020,PRIMARY_STUDY_LEVEL,Gait/mobility,10-meter walk / gait speed,Study-specific change,STATISTICAL_CHANGE_ONLY,Instrumented/clinical assessor,NO,After tap and/or shunt; varied,NA,NO,INCERTO,NR,Most reports used statistical or author-defined change rather than an iNPH-specific MCID.,MESCLADOS 1,M1 pp.226–250
FT-020,PRIMARY_STUDY_LEVEL,Gait/mobility,Stride length/cadence,Study-specific change,STATISTICAL_CHANGE_ONLY,Instrumented/clinical assessor,NO,After tap and/or shunt; varied,NA,NO,INCERTO,NR,Most reports used statistical or author-defined change rather than an iNPH-specific MCID.,MESCLADOS 1,M1 pp.226–250
