effect_id,master_id,analysis_cell,microcell_id,predictor,outcome,time,effect_measure,threshold,source_type,umbrella_role,selected_as_anchor,own_cohort_or_hybrid_excluded,exact_microcell_fields_present,complete_estimate_and_interval,paired_accuracy_reporting_available,robis_consensus_overall,primary_study_list_status,n_unique_primary_studies,studies_k,participants_n,search_end_date,year,selection_or_exclusion_reason,hierarchy
FE-0133,FT-021,AI_MODELS,AI_MODELS | AI models reporting AUC | Shunt response | Varied | AUC range | NR,AI models reporting AUC,Shunt response,Varied,AUC range,NR,CODEX_COMPLEMENTARY_EXTRACTION,EXPLORATORY_NO_POOL,False,False,True,True,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,8,4,NR,NR,2024,Exploratory or non-comparable estimate; retained descriptively and not eligible as an anchor.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0108,FT-053,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Shunt surgery | Additional surgery | Varied | Pooled/aggregate proportion (%) | NR,Shunt surgery,Additional surgery,Varied,Pooled/aggregate proportion (%),,SYSTEMATIC_REVIEW_COMPONENT,SUPPORTING_CONCORDANCE_ONLY,False,False,True,False,True,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,44 review reports / subset varies,NÃO EXTRAÍVEL,March 2000,2001,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0107,FT-053,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Shunt surgery | Any complication | Varied | Pooled/aggregate proportion (%) | NR,Shunt surgery,Any complication,Varied,Pooled/aggregate proportion (%),,SYSTEMATIC_REVIEW_COMPONENT,SUPPORTING_CONCORDANCE_ONLY,False,False,True,False,True,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,44 review reports / subset varies,NÃO EXTRAÍVEL,March 2000,2001,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0105,FT-053,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Shunt surgery | Any postoperative improvement | Varied | Pooled/aggregate proportion (%) | NR,Shunt surgery,Any postoperative improvement,Varied,Pooled/aggregate proportion (%),,SYSTEMATIC_REVIEW_COMPONENT,SUPPORTING_CONCORDANCE_ONLY,False,False,True,False,True,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,44 review reports / subset varies,NÃO EXTRAÍVEL,March 2000,2001,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0109,FT-053,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Shunt surgery | Permanent neurological deficit or death | Varied | Pooled/aggregate proportion (%) | NR,Shunt surgery,Permanent neurological deficit or death,Varied,Pooled/aggregate proportion (%),,SYSTEMATIC_REVIEW_COMPONENT,SUPPORTING_CONCORDANCE_ONLY,False,False,True,False,True,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,44 review reports / subset varies,NÃO EXTRAÍVEL,March 2000,2001,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0106,FT-053,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Shunt surgery | Prolonged improvement | Varied | Pooled/aggregate proportion (%) | NR,Shunt surgery,Prolonged improvement,Varied,Pooled/aggregate proportion (%),,SYSTEMATIC_REVIEW_COMPONENT,SUPPORTING_CONCORDANCE_ONLY,False,False,True,False,True,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,44 review reports / subset varies,NÃO EXTRAÍVEL,March 2000,2001,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0115,FT-059,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Shunt vs no shunt | Gait improvement | 6 months | Risk difference | NR,Shunt vs no shunt,Gait improvement,6 months,Risk difference,,GUIDELINE_EVIDENCE_SYNTHESIS,SUPPORTING_CONCORDANCE_ONLY,False,False,True,True,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,36,NR,NÃO EXTRAÍVEL,November 2013 plus two later studies,2015,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0114,FT-059,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Shunt vs no shunt | Subjective/global symptom improvement | 6 months | Risk difference | NR,Shunt vs no shunt,Subjective/global symptom improvement,6 months,Risk difference,,GUIDELINE_EVIDENCE_SYNTHESIS,SUPPORTING_CONCORDANCE_ONLY,False,False,True,True,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,36,NR,NÃO EXTRAÍVEL,November 2013 plus two later studies,2015,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0116,FT-059,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Shunting | Serious adverse event risk | Varied | Risk (%) | NR,Shunting,Serious adverse event risk,Varied,Risk (%),,GUIDELINE_EVIDENCE_SYNTHESIS,SUPPORTING_CONCORDANCE_ONLY,False,False,True,False,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,36,NR,NR,November 2013 plus two later studies,2015,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0154,FT-059,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Shunting | Subjective improvement at 6 months | 6 months | Probability | NR,Shunting,Subjective improvement at 6 months,6 months,Probability,NR,CODEX_COMPLEMENTARY_EXTRACTION,SUPPORTING_CONCORDANCE_ONLY,False,False,True,False,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,36,3,NR,November 2013 plus two later studies,2015,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0155,FT-059,BENEFIT_HARM_DURABILITY,BENEFIT_HARM_DURABILITY | Shunting | Timed-walk improvement at 6 months | 6 months | Probability | NR,Shunting,Timed-walk improvement at 6 months,6 months,Probability,NR,CODEX_COMPLEMENTARY_EXTRACTION,SUPPORTING_CONCORDANCE_ONLY,False,False,True,False,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,36,3,NR,November 2013 plus two later studies,2015,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0065,FT-030,BIOMARKERS,BIOMARKERS | CSF amyloid-β42 | Shunt responder vs nonresponder | Varied | SMD | Continuous biomarker,CSF amyloid-β42,Shunt responder vs nonresponder,Varied,SMD,Continuous biomarker,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,COMPLETE_FOR_CCA,13,4,254,NR,2022,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0063,FT-030,BIOMARKERS,BIOMARKERS | CSF phosphorylated tau | Shunt responder vs nonresponder | Varied | SMD | Continuous biomarker,CSF phosphorylated tau,Shunt responder vs nonresponder,Varied,SMD,Continuous biomarker,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,COMPLETE_FOR_CCA,13,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NR,2022,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0064,FT-030,BIOMARKERS,BIOMARKERS | CSF total tau | Shunt responder vs nonresponder | Varied | SMD | Continuous biomarker,CSF total tau,Shunt responder vs nonresponder,Varied,SMD,Continuous biomarker,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,COMPLETE_FOR_CCA,13,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NR,2022,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0147,FT-041,COGNITIVE_CHANGE,COGNITIVE_CHANGE | Backward digit span | Post-shunt mean change | Post-shunt; varied | MD | NR,Backward digit span,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,SUPPORTING_CONCORDANCE_ONLY,False,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,23,6,NR,NR,2016,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0118,FT-002,COGNITIVE_CHANGE,COGNITIVE_CHANGE | Digit Span backward | Post-shunt mean change | Post-shunt; varied | MD | NR,Digit Span backward,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,195,10,NR,NR,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0119,FT-002,COGNITIVE_CHANGE,COGNITIVE_CHANGE | Frontal Assessment Battery | Post-shunt mean change | Post-shunt; varied | MD | NR,Frontal Assessment Battery,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,195,24,NR,NR,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0121,FT-002,COGNITIVE_CHANGE,COGNITIVE_CHANGE | Grooved Pegboard dominant | Post-shunt mean change | Post-shunt; varied | MD | NR,Grooved Pegboard dominant,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,195,5,NR,NR,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0126,FT-002,COGNITIVE_CHANGE,COGNITIVE_CHANGE | MMSE | Post-shunt mean change | Post-shunt; varied | MD | NR,MMSE,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,195,71,NR,NR,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0144,FT-041,COGNITIVE_CHANGE,COGNITIVE_CHANGE | MMSE | Post-shunt mean change | Post-shunt; varied | MD | NR,MMSE,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,SUPPORTING_CONCORDANCE_ONLY,False,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,23,19,NR,NR,2016,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0125,FT-002,COGNITIVE_CHANGE,COGNITIVE_CHANGE | MoCA | Post-shunt mean change | Post-shunt; varied | MD | NR,MoCA,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,195,7,NR,NR,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0148,FT-041,COGNITIVE_CHANGE,COGNITIVE_CHANGE | Phonemic fluency | Post-shunt mean change | Post-shunt; varied | MD | NR,Phonemic fluency,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,SUPPORTING_CONCORDANCE_ONLY,False,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,23,8,NR,NR,2016,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
